"Population","Annual Growth Rate","Population Density","Total Fertility Rate","Infant Mortality Rate","Crude Death Rate","Life Expectancy"
85370,-0.119,182.4,1.4654,3.33,8.06,83.8
10032213,0.595,120,1.6085,4.98,1.67,79.94
48001842,3.192,73.6,5.4,42.81,5.93,67.18
102634,1.112,231.7,1.934,13.61,5.72,78.28
19416,1.736,213.4,1.7219,2.98,4.74,82.61
2579534,-1.103,94.2,1.0916,11.99,8.24,78.28
2976765,-0.424,105.5,1.6538,11.61,9.56,76.66
37709928,3.334,30.2,5.5195,46.95,6.88,64.95
45306215,0.234,16.6,1.431,7.76,8.18,77.43
43895,-1.542,221.7,2.062,9.68,6.31,75.84
9147000,0.319,110.9,1.34,3.28,10.22,81.97
26768598,1.125,3.5,1.7315,2.92,6.77,83.47
125063,1.08,694.8,1.8227,11.5,8.76,78.49
10650239,0.429,128.9,1.6874,10.9,6.41,75.88
3677149,-0.621,71.8,1.1422,3.82,11.9,77.45
304139,0.225,707.3,1.7035,9.57,8.12,79.03
168697184,0.89,1296,2.07,28.82,5.54,75.22
11903530,0.5,393.1,1.4667,2.99,9.47,82.4
22930371,2.431,83.7,4.0995,48.81,7.37,64.2
6782659,-0.661,62.5,1.5144,7.66,14.23,76.08
1566888,0.819,2061.7,1.6482,9.71,2.84,80.35
13590102,2.813,529.2,4.8951,35.69,5.74,68.11
14697052,3.287,132.9,5.3436,52.94,7.63,62.99
7086,-0.113,283.4,1.6398,6.45,9.46,81.02
72800,0.295,1348.1,1.8842,2.14,9.31,82.45
491900,1.401,93.4,1.734,10.01,3.9,78.85
12311974,0.998,11.4,2.196,22.28,6.62,72.5
220051512,0.607,26.3,1.74,12.91,6.98,76.28
410862,1.071,41,1.4436,9.37,5.56,76.71
884546,0.945,23,1.76,24.25,5.89,73.7
2450668,1.343,4.3,2.338,23.67,8.92,66.43
9501451,-0.416,46.8,1.4501,2.12,13.3,74.73
415789,1.472,18.2,2.052,11.28,5.02,74.33
38904514,0.72,4.3,1.4379,4.15,8.15,83.93
115403027,3.11,50.9,5.49,57.43,7.55,62.63
5650957,1.756,9.1,3.94,80.53,11.27,56.39
6097665,2.381,17.9,3.788,30.64,4.82,72.89
8860574,0.747,221.5,1.5913,2.98,8.51,83.85
31113762,2.382,97.8,3.9479,53.37,7.05,63.53
7761,-2.242,32.9,2.0161,15.14,9.41,77.64
18998355,0.516,25.5,1.251,4.56,6.6,80.4
30966105,2.708,65.5,4.444,46.11,7.35,64.19
1407929929,-0.027,151,1.23,6.18,7.89,78.45
49588357,0.482,47.7,1.9402,11.65,7.97,74.89
5265575,0.738,103.1,1.4256,6.67,5.34,80.27
10163370,-1.446,92.5,1.4895,5.25,11.18,78.43
611014,1.157,151.5,2.096,22.41,5.74,74.28
153289,0.277,345.2,1.96,7.53,8.85,79.88
1320525,0.946,142.9,1.4874,8.07,7.04,80.19
10837890,0.039,140.3,1.7329,2.58,12.02,78.64
84119100,-0.123,241.3,1.5834,3.09,11.96,81.93
994974,1.89,42.9,2.11,45.17,7.04,65.91
6009711,0.75,141.6,1.521,3.05,10.38,81.22
74661,-0.008,99.4,2.012,10.73,8.12,78.68
10815857,0.757,223.8,2.1522,21.68,7.11,72.63
47022473,1.541,19.7,2.94,18.71,4.37,77.93
18309984,0.94,73.7,2.206,11.24,7.2,74.91
1342910,0.108,31.7,1.3576,2,12.19,78.3
111247248,1.494,111.8,2.646,16.84,4.32,74.98
6343956,1.117,62.8,3.426,39.78,6.51,67.52
47280433,0.12,94.8,1.3016,2.4,10.03,82.98
118550298,2.368,108.1,3.844,32.56,5.76,67.66
5548944,0.037,18.3,1.2783,1.88,11.01,81.84
951611,0.395,52.1,2.206,9.65,6.51,74.8
99603,-0.732,141.9,2.194,20.85,4.21,74.97
52933,0.629,38,2.2672,5.74,8.58,81.68
68374591,0.2,106.8,1.8983,3.12,9.96,82.59
2455105,2.371,9.5,3.21,26.87,5.51,70.35
68459055,0.448,283,1.6333,3.76,9.18,82.17
114621,0.27,333.2,1.904,9.01,8.38,76.25
4900961,-0.504,70.3,1.9533,21.74,13.25,72.83
67787,0.207,869.1,1.5906,3.25,9.18,83.61
34589092,2.154,152,3.56,31.16,5.86,70.07
29683,0.172,4240.4,1.8895,6.02,8.73,80.87
57751,-0.054,0,1.884,8.45,9.16,74.51
2523327,2.161,249.3,3.524,35.71,5.62,68.36
13986179,2.743,56.9,4.784,47.04,7.83,64.63
1795834,3.226,64,4.119,77.38,8.85,63.9
10461091,-0.35,80.1,1.4097,3.43,12,81.91
18255216,1.494,170.4,2.52,24.98,4.87,73.46
169532,0.107,311.6,2.728,10.94,6.12,77.99
2132325,2.544,75.8,4.622,46.37,7.15,64.5
794099,0.315,4,2.048,21.13,7,72.43
7297821,0.119,6801.3,1.2358,2.48,8.1,83.98
9529188,1.286,85.2,2.328,15.41,5.35,73.12
4090839,-0.437,73.1,1.4257,3.46,13.32,77.93
11753943,1.228,426.5,2.44,36.84,7.33,65.57
9855745,-0.283,110,1.5987,4.66,14.47,76.01
281562465,0.73,155.4,1.958,18.89,6.79,73.59
5233461,0.933,76,1.7203,3.26,7.4,82.01
9402617,1.577,437.4,2.9154,2.83,5.23,83.08
92269,0.449,161.3,1.8764,4.09,10.18,82.45
1409128296,0.717,473.9,2.0325,30.41,9.13,68.18
42083436,1.986,96.2,3.102,18.74,3.87,73.72
88386937,0.88,57.7,1.9094,14.32,5.25,75.62
364036,0.854,3.6,1.938,1.62,6.59,84.02
60964931,-0.08,207.3,1.2559,3.07,11.23,82.99
103387,0.561,891.3,1.6598,3.74,7.77,83.03
2823713,0.102,260.7,2.046,10.67,7.46,76.26
11174024,0.777,125.8,2.872,13.22,3.49,76.52
123201945,-0.428,338,1.3987,1.86,11.89,85.18
54571282,2.133,95.9,3.158,28.73,5.34,69.45
6172101,0.786,32.2,2.452,24.51,6.02,72.91
17063669,0.994,96.7,2.1698,27.94,5.65,71.4
116545,1,143.7,2.154,31.5,6.89,68.53
900141,1.296,402.7,2.606,54.94,6.43,67.8
55133,0.56,211.2,1.7594,8.04,7.36,77.58
26298666,0.396,218.4,1.81,15.41,9.21,73.51
51530947,-0.084,531.7,0.68,2.26,6.88,84.71
3138355,1.098,176.1,2.2054,7.15,2.28,79.57
66653,1.752,252.5,1.8156,7.3,6.14,82.45
20260006,0.864,7.5,2.578,7.98,8.14,73.28
7953556,1.261,34.5,2.244,35.39,6.16,69.03
5756974,-0.965,562.8,2.22,7.31,6.57,75.71
168038,0.259,277.3,1.714,11.51,8.29,79.41
21982608,0.394,340.1,2.132,6.82,7.54,76.75
5437249,2.321,56.4,3.934,55.69,8.34,61.61
2227548,0.764,73.4,2.852,45.67,10.76,60.16
2835340,-0.682,45.2,1.2278,2.5,13.98,77.17
682815,1.541,264,1.2612,3.09,6.62,84.4
1907341,-0.721,30.6,1.2499,2.41,14.62,75.48
7361263,1.438,4.2,3,10.7,3.46,77.67
37387585,0.844,52.2,2.2535,18.27,6.63,74.22
31813,0.71,15906.5,1.5407,1.73,11.13,89.76
3599528,-0.576,109.4,1.2559,13.8,14.2,70.09
599849,-0.439,44.6,1.8034,3.16,10.29,78.24
32996,0.297,611,1.8003,6.45,4.76,81.02
29452714,2.175,50.6,3.468,37.51,5.84,68.77
82011,1.264,453.1,2.668,20.62,4.33,75.18
2135622,0.097,84,1.5262,7,9.61,77.34
21990607,2.896,18,5.35,57.37,8.08,63.21
57527139,0.711,88,1.974,32.07,7.26,70.27
3504207,1.159,2.3,2.65,8.91,5.42,73.8
644426,0.674,23015.2,1.24,4.41,4.91,85.33
51118,-0.342,108.3,2.5615,11.87,5.73,77.08
5053386,2.919,4.9,4.8375,30.57,5.28,70.57
5468,0.585,53.6,1.3293,9.73,6.04,76.12
518231,0.732,1640,1.1912,4.65,8.54,82.79
1310504,0.074,645.6,1.3575,11.61,9.04,75.39
388858,-0.199,1304.9,1.702,24.36,4.25,77.43
21763309,2.218,231.3,3.188,31.94,4.45,72.97
130739927,0.715,67.3,1.7942,12.14,6.51,74.56
34564810,0.992,105.2,1.7318,6.38,5.76,76.64
33350954,2.536,42.4,4.6575,58.2,9.62,58.28
2803660,1.716,3.4,2.894,27.87,7.13,65.85
304167,1.139,16.6,1.832,4.84,5.96,79.29
26342784,3.655,20.8,6.6389,64.27,9.45,60.87
236747130,2.524,259.9,4.5159,53.7,8.35,62.23
6676948,0.945,55.6,1.8302,14.36,5.13,74.73
17772378,0.392,524.4,1.6141,3.63,9.7,81.86
5509733,0.589,18.1,1.5731,1.82,8.38,82.91
31122387,0.7,217.1,1.848,23.97,5.6,72.95
9892,0.394,471,2.552,7.6,6.47,68.56
5161211,0.946,19.5,1.8502,3.33,6.9,82.93
3901992,1.748,12.6,2.6419,13.87,3.19,77.41
4470241,1.476,60.1,2.3461,14.2,5.67,79.23
32600249,0.482,25.5,2.148,10.8,10.85,68.94
303540,0.662,79.3,1.79,4.28,5.76,78.9
10046233,2.263,22.2,3.7869,32.04,5.42,70.05
118277063,1.56,396.7,2.7534,22.04,6.24,70.81
252363571,1.862,327.4,3.3229,51.5,5.86,70.26
38746310,-1.001,127.3,1.3207,4.85,12.19,76.74
5132,-1.208,21.2,1.5965,7.78,11.69,81.84
3019450,-1.2,340.4,1.2615,5.81,10.24,82.1
10207177,-0.142,111.6,1.4453,2.44,10.91,81.92
21864,0.384,47.6,1.7,10.81,8.42,75.17
7522549,1.093,18.9,1.8817,22.01,4.93,78.84
2552088,0.709,220.3,1.9007,6.36,1.42,80.25
18148155,-0.939,78.9,1.6282,5.46,14.59,76.87
6652212,-0.608,85.9,1.4645,4.48,14.87,75.34
140820810,-0.487,8.6,1.5177,6.5,13.98,72.26
13623302,1.62,552.3,3.136,24.91,5.69,66.56
36544431,1.684,17,1.8665,11.68,3.48,77.16
726799,1.652,26,2.77,19.06,3.94,77.21
98187,0.564,215.8,1.806,10.16,6.96,76.61
50467278,2.546,27.1,4.4729,40.55,6.09,67.77
10589835,0.508,25.8,1.6654,2.27,9.56,82.9
6028459,0.871,8502.8,1.1747,1.53,4.27,86.67
7943,0.101,20.2,1.6102,18.07,8.31,80.92
2158404,0.044,107.1,1.5125,1.77,10.94,81.49
5563649,-0.081,115.7,1.6005,5.12,11.17,77.22
9121049,2.321,127.4,3.614,71.2,8.97,59.37
35095,0.567,575.3,1.5385,6.21,8.89,84.24
18847519,2.459,97.9,4.064,31.08,4.92,70.55
19654460,3.378,31.3,6.446,81.85,11.33,56
646758,1.071,4.1,1.888,29.58,6.68,72.72
12703714,4.653,19.7,5.0917,60.11,8.93,60.25
223561,1.421,231.9,3.308,42.6,5.95,67.71
6788544,0.748,327.6,1.7414,10.27,5.78,76.23
46215,1.149,1359.3,1.9732,7.64,6.43,79.72
23865423,1.669,128.4,2.692,15.1,3.98,74.81
1138089,0.696,66.2,2.368,36.67,9.37,60.74
60439,1.767,63.8,1.7,11.05,3.56,81.26
19093595,3.014,15.2,5.24,62.52,8.97,59.99
8917994,2.413,164,4.13,38.43,5.07,72.06
69920998,0.165,136.9,1.5435,6.26,7.97,78.15
10394063,1.916,73.5,3.5563,21.67,4.68,71.89
1386442,1.349,93.2,2.916,42.87,6.94,67.01
5744151,0.915,12.2,2.024,35.85,5.97,72.39
12048847,0.576,77.6,1.932,11.29,6.41,77.32
104889,-0.335,146.3,2.646,11.8,4.97,78.02
84119531,0.614,109.3,1.896,18.36,6.14,76.72
1408966,0.096,274.8,1.63,15.06,8.58,76.45
11733,0.784,451.3,2.784,27.75,7.84,68.99
23595274,0.025,731.4,1.1056,3.84,8.08,81.59
67189599,2.891,75.9,4.525,29.06,5.07,69.85
35661826,2.384,61.6,1.2194,8.69,18.64,70.47
49283041,3.18,250,5.172,28.47,4.74,69.68
336482168,0.468,36.8,1.6282,5.04,8.65,79.9
3451805,-0.073,19.7,1.268,7.06,9.95,76.97
36520593,1.429,85.9,2.7605,18.23,5.1,76.21
100647,-0.152,258.7,1.736,12.31,7.66,77.18
31250306,2.342,35.4,2.18,13.85,6.53,74.51
40102,1.823,265.6,1.3784,13.39,5.49,80.12
104377,-0.539,299.9,1.966,7.34,9.21,80.72
105758975,0.893,341.1,2.0271,14.1,5.78,76.05
318007,1.552,26.1,2.526,13.67,4,75.66
15964,0.219,112.4,1.7096,3.88,6.01,81.11
208853,0.653,74,2.3321,17.33,5.39,75.71
2141643,2.015,5949,3.26,15.08,2.89,75.51
1977093,0.675,181.6,1.8678,22.9,7.24,73.14
3243369,2.067,575.1,3.4894,15.1,3.33,76.51
33737887,2.278,63.9,3.724,42.41,6.2,66.24
60442647,1.072,49.8,2.268,21.94,6.85,71.88
20799116,2.825,28,4.4219,35.57,5.91,66.93
17150352,1.905,44.3,3.466,33.36,6.53,67.21
